Compound Name, 13 01a, 13 02a, 13 03a, 13 04a, 13 05a, 13 06a, 13 07a, 13 08a, 13 09a, 13 10a, 13 11a, 13 12a, 13 13a, 13 14a, 13 15a, 13 16a, 13 17a, 13 18a, 13 19a, 13 20a, 13 21a, 13 22a, 13 23a, 13 24a, 13 25a, 13 26a, 13 27a, 13 28a, 13 29a, 13 30a, 13 31a, 13 32a, 13 33a, 13 34a, 13 36a, 13 01b, 13 02b, 13 03b, 13 04b, 13 05b, 13 06b, 13 07b, 13 08b, 13 09b, 13 10b, 13 11b, 13 12b, 13 13b, 13 14b, 13 15b, 13 16b, 13 17b, 13 18b, 13 19b, 13 20b, 13 21b, 13 22b, 13 23b, 13 24b, 13 25b, 13 26b, 13 27b, 13 28b, 13 29b, 13 30b, 13 31b, 13 32b, 13 33b, 13 34b, 13 36b, 13 01c, 13 02c, 13 03c, 13 04c, 13 05c, 13 06c, 13 07c, 13 08c, 13 09c, 13 10c, 13 11c, 13 12c, 13 13c, 13 14c, 13 15c, 13 16c, 13 17c, 13 18c, 13 19c, 13 20c, 13 21c, 13 22c, 13 23c, 13 24c, 13 25c, 13 26c, 13 27c, 13 28c, 13 29c, 13 30c, 13 31c, 13 32c, 13 33c, 13 34c, 13 36c
lake,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36
precipitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.8,13,0,0,0.8,4.24,13,13,13,13,0.3,0.8,4.3,0,0,1.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.8,13,0,0,0.8,4.24,13,13,13,13,0.3,0.8,4.3,0,0,1.3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0.8,13,0,0,0.8,4.24,13,13,13,13,0.3,0.8,4.3,0,0,1.3,0.8
pH,9,8.6,8.7,9,8,9.09,8.4,8.69,9.1,9.1,8.76,8.6,8.3,9.11,9.1,8.97,9.1,8.4,8.72,8.1,8.4,8.4,8.6,8.81,8.1,8.2,8.3,8.5,7.7,8.5,8.7,7.84,9.9,8.4,9.2,9,8.6,8.7,9,8,9.09,8.4,8.69,9.1,9.1,8.76,8.6,8.3,9.11,9.1,8.97,9.1,8.4,8.72,8.1,8.4,8.4,8.6,8.81,8.1,8.2,8.3,8.5,7.7,8.5,8.7,7.84,9.9,8.4,9.2,9,8.6,8.7,9,8,9.09,8.4,8.69,9.1,9.1,8.76,8.6,8.3,9.11,9.1,8.97,9.1,8.4,8.72,8.1,8.4,8.4,8.6,8.81,8.1,8.2,8.3,8.5,7.7,8.5,8.7,7.84,9.9,8.4,9.2
DOC,5.509,6.524,6.454,5.407,1.499,3.735,4.5195,9.54,9.206,3.7945,4.123,7.162,7.068,5.603,4.14,10.27,6.388,4.671,24.65,5.264,6.501,7.881,7.962,6.2015,5.883,5.201,5.256,5.244,4.01,7.19,4.075,4.284,10.71,6.6135,7.612,5.509,6.524,6.454,5.407,1.499,3.735,4.5195,9.54,9.206,3.7945,4.123,7.162,7.068,5.603,4.14,10.27,6.388,4.671,24.65,5.264,6.501,7.881,7.962,6.2015,5.883,5.201,5.256,5.244,4.01,7.19,4.075,4.284,10.71,6.6135,7.612,5.509,6.524,6.454,5.407,1.499,3.735,4.5195,9.54,9.206,3.7945,4.123,7.162,7.068,5.603,4.14,10.27,6.388,4.671,24.65,5.264,6.501,7.881,7.962,6.2015,5.883,5.201,5.256,5.244,4.01,7.19,4.075,4.284,10.71,6.6135,7.612
TKP,1.1,1.004,1.091,1.106,1.147,1.092,1.094,1.181,1.073,1.134,1.228,1.148,1.141,1.172,1.066,1.064,1.115,1.136,1.12,1.021,1.049,1.185,1.12,1.031,1.063,1.021,1.117,1.101,1.065,1.071,1.17,1.174,1.143,1.039,1.15,1.1,1.004,1.091,1.106,1.147,1.092,1.094,1.181,1.073,1.134,1.228,1.148,1.141,1.172,1.066,1.064,1.115,1.136,1.12,1.021,1.049,1.185,1.12,1.031,1.063,1.021,1.117,1.101,1.065,1.071,1.17,1.174,1.143,1.039,1.15,1.1,1.004,1.091,1.106,1.147,1.092,1.094,1.181,1.073,1.134,1.228,1.148,1.141,1.172,1.066,1.064,1.115,1.136,1.12,1.021,1.049,1.185,1.12,1.031,1.063,1.021,1.117,1.101,1.065,1.071,1.17,1.174,1.143,1.039,1.15
TKN,0.316,0.334,0.307,0.269,0.298,0.292,0.27,0.25,0.302,0.292,0.23,0.307,0.291,0.303,0.309,0.305,0.253,0.388,0.277,0.312,0.32,0.228,0.273,0.282,0.289,0.329,0.283,0.279,0.438,0.269,0.241,0.368,0.199,0.208,0.174,0.316,0.334,0.307,0.269,0.298,0.292,0.27,0.25,0.302,0.292,0.23,0.307,0.291,0.303,0.309,0.305,0.253,0.388,0.277,0.312,0.32,0.228,0.273,0.282,0.289,0.329,0.283,0.279,0.438,0.269,0.241,0.368,0.199,0.208,0.174,0.316,0.334,0.307,0.269,0.298,0.292,0.27,0.25,0.302,0.292,0.23,0.307,0.291,0.303,0.309,0.305,0.253,0.388,0.277,0.312,0.32,0.228,0.273,0.282,0.289,0.329,0.283,0.279,0.438,0.269,0.241,0.368,0.199,0.208,0.174
NH3,0,0,0,0.0127,0,0,0,0,0,0,0,0,0,0,0,0.0437,0,0,0,0,0,0,0,0,0,0.0271,0,0,0.3533,0.0024,0.5134,0.0826,0.3901,0.5995,0.4547,0,0,0,0.0127,0,0,0,0,0,0,0,0,0,0,0,0.0437,0,0,0,0,0,0,0,0,0,0.0271,0,0,0.3533,0.0024,0.5134,0.0826,0.3901,0.5995,0.4547,0,0,0,0.0127,0,0,0,0,0,0,0,0,0,0,0,0.0437,0,0,0,0,0,0,0,0,0,0.0271,0,0,0.3533,0.0024,0.5134,0.0826,0.3901,0.5995,0.4547
Org N,0.3534,0.3718,0.3283,0.2563,0.34,0.3254,0.3039,0.2899,0.3524,0.3121,0.2651,0.3414,0.2999,0.3419,0.3399,0.2613,0.2728,0.4246,0.3159,0.3568,0.3425,0.2577,0.3147,0.3131,0.3266,0.3019,0.3268,0.3129,0.0847,0.2666,0,0.2854,0,0,0,0.3534,0.3718,0.3283,0.2563,0.34,0.3254,0.3039,0.2899,0.3524,0.3121,0.2651,0.3414,0.2999,0.3419,0.3399,0.2613,0.2728,0.4246,0.3159,0.3568,0.3425,0.2577,0.3147,0.3131,0.3266,0.3019,0.3268,0.3129,0.0847,0.2666,0,0.2854,0,0,0,0.3534,0.3718,0.3283,0.2563,0.34,0.3254,0.3039,0.2899,0.3524,0.3121,0.2651,0.3414,0.2999,0.3419,0.3399,0.2613,0.2728,0.4246,0.3159,0.3568,0.3425,0.2577,0.3147,0.3131,0.3266,0.3019,0.3268,0.3129,0.0847,0.2666,0,0.2854,0,0,0
NO2,0.0051,0.0149,0.0132,0.0013,0.0416,0.0601,0.0023,0.0087,0.0076,0.0598,0.0113,0.0101,0.0076,0.0105,0.004,0.0086,0.0048,0.2012,0.0024,0.0006,0.005,0,0.0048,0,0,0.0009,0.0025,0.0083,0.088,0.0019,0.1646,0.0223,0.0184,0.0014,0.0191,0.0051,0.0149,0.0132,0.0013,0.0416,0.0601,0.0023,0.0087,0.0076,0.0598,0.0113,0.0101,0.0076,0.0105,0.004,0.0086,0.0048,0.2012,0.0024,0.0006,0.005,0,0.0048,0,0,0.0009,0.0025,0.0083,0.088,0.0019,0.1646,0.0223,0.0184,0.0014,0.0191,0.0051,0.0149,0.0132,0.0013,0.0416,0.0601,0.0023,0.0087,0.0076,0.0598,0.0113,0.0101,0.0076,0.0105,0.004,0.0086,0.0048,0.2012,0.0024,0.0006,0.005,0,0.0048,0,0,0.0009,0.0025,0.0083,0.088,0.0019,0.1646,0.0223,0.0184,0.0014,0.0191
NO3,0.2429,0.2771,0.2658,0.2677,5.9604,0.9419,0.2527,0.2613,0.2734,2.4672,0.2657,0.2669,0.2604,0.2525,0.255,0.2734,0.2852,5.3968,0.0066,0.0284,0,0.04,0.0292,0,0.019,0.0341,0.0415,0.1727,1.559,0.0071,0.5064,0.0377,0.0076,0.0136,0.0449,0.2429,0.2771,0.2658,0.2677,5.9604,0.9419,0.2527,0.2613,0.2734,2.4672,0.2657,0.2669,0.2604,0.2525,0.255,0.2734,0.2852,5.3968,0.0066,0.0284,0,0.04,0.0292,0,0.019,0.0341,0.0415,0.1727,1.559,0.0071,0.5064,0.0377,0.0076,0.0136,0.0449,0.2429,0.2771,0.2658,0.2677,5.9604,0.9419,0.2527,0.2613,0.2734,2.4672,0.2657,0.2669,0.2604,0.2525,0.255,0.2734,0.2852,5.3968,0.0066,0.0284,0,0.04,0.0292,0,0.019,0.0341,0.0415,0.1727,1.559,0.0071,0.5064,0.0377,0.0076,0.0136,0.0449
