Compound Nme, 13 01, 13 02, 13 03, 13 04, 13 05, 13 06, 13 07, 13 08, 13 09, 13 10, 13 11, 13 12, 13 13, 13 14, 13 15, 13 16, 13 17, 13 18, 13 19, 13 20, 13 21, 13 22, 13 23, 13 24, 13 25, 13 26, 13 27, 13 28, 13 29, 13 30, 13 31, 13 32, 13 33, 13 34, 13 36, 14 01, 14 02, 14 03, 14 04, 14 05, 14 06, 14 07, 14 08, 14 09, 14 10, 14 11, 14 12, 14 13, 14 14, 14 15, 14 16, 14 17, 14 18, 14 19, 14 20, 14 21, 14 22, 14 23, 14 24, 14 25, 14 26, 14 27, 14 28, 14 29, 14 30, 14 31, 14 32, 14 33, 14 34, 14 36, 15-01, 15-02, 15-03, 15-04, 15-05, 15-06, 15-07, 15-08, 15-09, 15-10, 15-11, 15-12, 15-13, 15-14, 15-15, 15-16, 15-17, 15-18, 15-19, 15-20, 15-21, 15-22, 15-23, 15-24, 15-25, 15-26, 15-27, 15-28, 15-29, 15-30, 15-31, 15-32, 15-33, 15-34, 15-36
sample ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36
DOC,5.509,6.524,6.454,5.407,1.499,3.735,4.5195,9.54,9.206,3.7945,4.123,7.162,7.068,5.603,4.14,10.27,6.388,4.671,24.65,5.264,6.501,7.881,7.962,6.2015,5.883,5.201,5.256,5.244,4.01,7.19,4.075,4.284,10.71,6.6135,7.612,7.456,7.602,7.896,5.747,2.151,3.289,5.022,10.54,12.28,4.245,4.398,7.755,7.837,5.259,4.511,10.72,9.226,5.597,6.267,34.45,8.03,9.24,9.958,7.272,6.068,6.119,6.267,6.832,4.764,3.667,4.797,8.623,11.055,7.656,9.291,5.558,7.087,3.221,5.673,1.728,3.315,4.512,9.23,9.255,4.424,4.581,6.502,6.394,6.005,4.506,9.467,7.02,4.414,24.92,5.389,9.814,8.486,9.471,6.235,5.326,5.657,5.404,6.709,5.505,3.988,4.376,7.8,9.395,9.133,9.129
TKP,1.1,1.004,1.091,1.106,1.147,1.092,1.094,1.181,1.073,1.134,1.228,1.148,1.141,1.172,1.066,1.064,1.115,1.136,1.12,1.021,1.049,1.185,1.12,1.031,1.063,1.021,1.117,1.101,1.065,1.071,1.17,1.174,1.143,1.039,1.15,1.117,1.115,1.027,1.064,1.064,1.076,1.048,1.073,1.1,1.068,1.139,1.166,1.022,1.16,1.109,0.973,1.118,1.049,1.201,1.091,1.036,1.112,0.985,1.005,1.062,1.13,1.091,1.045,1.224,1.0365,1.094,1.186,1.031,1.015,1.0865,1.243,1.032,1.001,1.008,1.019,1.036,0.959,1.073,0.985,1.076,1.055,1.155,1.095,1.147,1.096,0.975,1.039,1.137,1.016,1.008,1,1.046,1.119,1.021,1.067,1.145,0.963,1.069,1.294,1.071,0.995,1.058,1.141,1.086,1.145
TKN,0.316,0.334,0.307,0.269,0.298,0.292,0.27,0.25,0.302,0.292,0.23,0.307,0.291,0.303,0.309,0.305,0.253,0.388,0.277,0.312,0.32,0.228,0.273,0.282,0.289,0.329,0.283,0.279,0.438,0.269,0.241,0.368,0.199,0.208,0.174,0.162,0.166,0.179,0.16,0.169,0.196,0.157,0,0.183,0.187,0.131,0.171,0.193,0.237,0.172,0.145,0.139,0.172,0.118,0.154,0.166,0.155,0.164,0.165,0.147,0.193,0.151,0.164,0.197,0.249,0.249,0.08,0.1445,0.156,0,0,0.12,0.117,0.198,1.142,0.107,0.114,0,0.139,0.129,0.135,0,0,0,0.145,0.145,0.171,0,0.049,0.115,0.121,0,0,0.104,0.042,0.029,0,0.12,0.02,0.137,0.164,0.093,0.031,0,0
Nox,0.248,0.292,0.279,0.269,6.002,1.002,0.255,0.27,0.281,2.527,0.277,0.277,0.268,0.263,0.259,0.282,0.29,5.598,0.009,0.029,0,0.039,0.034,0,0.019,0.035,0.044,0.181,1.647,0.009,0.671,0.06,0.026,0.015,0.064,0.025,0.219,0.002,0.031,7.496,0.799,0.027,0.013,0,1.937,0.104,0.025,0.013,0,0.046,0,0,4.854,0.205,0,0.105,0.074,0,0,0,0,0,0,8.327,0.6495,0.443,0.039,0,0.015,0,0.059,0.048,0.039,0.068,6.999,0.828,0.026,0.054,0.059,1.738,0.053,0.243,0.066,0.09,0.04,0.075,0.06,4.157,0.057,0.055,0.44,0.06,0.041,0.034,0.036,0.044,0.058,0.042,4.652,0.761,0.318,0.037,0.045,0.091,0.052
NO2,0.0051,0.0149,0.0132,0.0013,0.0416,0.0601,0.0023,0.0087,0.0076,0.0598,0.0113,0.0101,0.0076,0.0105,0.004,0.0086,0.0048,0.2012,0.0024,0.0006,0.005,0,0.0048,0,0,0.0009,0.0025,0.0083,0.088,0.0019,0.1646,0.0223,0.0184,0.0014,0.0191,0.0057,0.023,0.0202,0.0072,0.0364,0.0911,0.0034,0.0139,0.0127,0.0636,0.0162,0.0122,0.0169,0.0132,0.01045,0.0119,0.0116,0.176,0.0051,0.0069,0.009,0.0032,0.009,0,0.0048,0.0035,0.0044,0.0055,0.0445,0.06725,0.0926,0.0027,0.0175,0.0097,0.01455,0.0094,0.0237,0.0244,0.0122,0.0422,0.0671,0.0075,0.0128,0.0096,0.0674,0.0164,0.0318,0.0119,0.0174,0.0115,0.0099,0.0113,0.0689,0.0141,0.0073,0.0121,0.006,0.0208,0.0058,0.0035,0.0029,0.0106,0.0081,0.0533,0.0831,0.1089,0.0059,0.0215,0.02,0.0195
NO3,0.2429,0.2771,0.2658,0.2677,5.9604,0.9419,0.2527,0.2613,0.2734,2.4672,0.2657,0.2669,0.2604,0.2525,0.255,0.2734,0.2852,5.3968,0.0066,0.0284,0,0.04,0.0292,0,0.019,0.0341,0.0415,0.1727,1.559,0.0071,0.5064,0.0377,0.0076,0.0136,0.0449,0.0193,0.196,0,0.0238,7.4596,0.7079,0.0236,0,0,1.8734,0.0878,0.0128,0,0,0.03555,0,0,4.678,0.1999,0,0.096,0.0708,0,0,0,0,0,0,8.2825,0.58225,0.3504,0.0363,0,0.0053,0,0.0496,0.0243,0.0146,0.0558,7.0212,0.7609,0.0185,0.0412,0.0494,1.6706,0.0366,0.2112,0.0541,0.0726,0.0285,0.0651,0.0487,4.09095,0.0429,0.0462,0.4279,0.054,0.0202,0.0282,0.0325,0.0411,0.0474,0.0339,4.5987,0.6779,0.2091,0.0294,0.0235,0.071,0.0325
Cl,54.052,24.301,24.404,10.408,16.958,8.769,30.833,9.879,8.967,15.621,29.574,19.522,19.634,13.749,12.758,8.212,9.649,13.32,10.756,23.611,15.361,13.686,4.184,1.484,23.632,23.427,23.648,16.764,14.101,6.483,13.603,14.961,20.8,2.8,21.529,53.878,23.718,23.779,10.614,16.674,9.152,32.156,10.442,8.821,16.299,29.269,19.612,19.905,13.922,14.4415,10.163,10.587,14.482,11.874,24.509,16.223,15.423,5.502,2.794,24.504,24.605,24.894,18.62,15.852,15.584,15.069,7.995,22.2595,4.062,22.4605,53.295,23.666,21.993,10.009,17.507,7.929,31.345,9.482,9.6,16.74,28.526,17.634,18.7,12.79,13.394,8.082,9.458,9.029,11.127,22.614,14.76,13.923,20.652,1.96,23.446,24.384,24.23,17.335,9.392,13.595,14.115,6.171,20.874,25.09,21.284
SO4,17.65,59.457,62.849,8.923,25.086,11.287,13.045,61.712,11.276,15.27,20.278,18.466,18.929,13.966,13.232,13.693,9.653,16.692,20.5,16.481,12.88,10.205,13.487,5.241,18.116,15.949,16.829,18.88,23.534,8.543,18.363,10.551,27.952,41.075,16.311,17.04,58.022,61.991,7.446,23.57,9.337,12.673,61.789,12.696,11.527,18.298,13.675,15.965,9.311,12.8175,8.597,8.987,16.828,19.941,13.024,8.895,7.787,9.632,3.821,13.274,13.637,13.05,14.08,18.626,10.0725,13.888,6.337,21.615,38.519,11.0705,15.621,63.292,64.868,6.751,24.371,9.129,11.089,60.68,8.946,12.575,15.891,15.318,16.242,10.564,11.161,9.994,7.657,14.879,20.045,15.185,11.444,7.907,22.202,5.024,14.733,14.696,15.639,16.813,26.311,10.257,15.536,7.135,24.1,22.7,20.048
MCs,1.097,1.617,1.3,1.305,0.405,0.425,0.57,0.82,20,0.433,1.203,0.38,0.575,0.717,1.743,0.803,4.688,0.748,0.433,0.338,6.32,2.832,0.46,0.52,0.538,1.125,0.33,2.088,0.635,0.442,1.263,0.863,1.082,0.29,0.473,0.65,0.748,0.67,0.34,0.438,0.005,0.493,0.678,20,0.69,1.34,0.433,0.69,0.66,1.817,0.653,6.922,1.628,0.425,0.625,6.108,4.977,0.358,0.533,0.335,0.515,0.558,2.615,0.377,0.545,0.767,0.695,0.855,0.675,0.567,0.515,1.115,1.098,0.473,0.418,0.793,0.575,0.825,38.96,0.855,1.757,0.468,0.81,2.243,5.918,0.858,7.142,0.842,0.488,0.458,6.635,3.695,0.61,0.498,0.392,0.825,0.442,8.505,0.435,0.835,0.938,0.805,0.9,0.93,0.715
